[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.dense.weight', 'cls.predictions.transform.LayerNorm.bias', 'cls.predictions.decoder.weight', 'cls.seq_relationship.weight', 'cls.seq_relationship.bias', 'cls.predictions.transform.LayerNorm.weight', 'cls.predictions.bias', 'cls.predictions.transform.dense.bias']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[82]	validation_0-merror:0.38785	validation_0-mlogloss:2.69021	validation_1-merror:0.48825	validation_1-mlogloss:3.04304
[83]	validation_0-merror:0.38658	validation_0-mlogloss:2.67832	validation_1-merror:0.48825	validation_1-mlogloss:3.03542
[84]	validation_0-merror:0.38517	validation_0-mlogloss:2.66685	validation_1-merror:0.48651	validation_1-mlogloss:3.02791
[85]	validation_0-merror:0.38291	validation_0-mlogloss:2.65525	validation_1-merror:0.48651	validation_1-mlogloss:3.02068
[86]	validation_0-merror:0.38192	validation_0-mlogloss:2.64381	validation_1-merror:0.48390	validation_1-mlogloss:3.01305
[87]	validation_0-merror:0.37881	validation_0-mlogloss:2.63244	validation_1-merror:0.48216	validation_1-mlogloss:3.00552
[88]	validation_0-merror:0.37669	validation_0-mlogloss:2.62147	validation_1-merror:0.48216	validation_1-mlogloss:2.99828
[89]	validation_0-merror:0.37542	validation_0-mlogloss:2.61030	validation_1-merror:0.48216	validation_1-mlogloss:2.99040
[90]	validation_0-merror:0.37359	validation_0-mlogloss:2.59945	validation_1-merror:0.47955	validation_1-mlogloss:2.98397
[91]	validation_0-merror:0.37161	validation_0-mlogloss:2.58859	validation_1-merror:0.47781	validation_1-mlogloss:2.97742
[92]	validation_0-merror:0.37048	validation_0-mlogloss:2.57781	validation_1-merror:0.47520	validation_1-mlogloss:2.97059
[93]	validation_0-merror:0.36794	validation_0-mlogloss:2.56717	validation_1-merror:0.47258	validation_1-mlogloss:2.96386
[94]	validation_0-merror:0.36610	validation_0-mlogloss:2.55680	validation_1-merror:0.47258	validation_1-mlogloss:2.95714
[95]	validation_0-merror:0.36314	validation_0-mlogloss:2.54679	validation_1-merror:0.46910	validation_1-mlogloss:2.95068
[96]	validation_0-merror:0.36102	validation_0-mlogloss:2.53681	validation_1-merror:0.46823	validation_1-mlogloss:2.94424
[97]	validation_0-merror:0.35946	validation_0-mlogloss:2.52690	validation_1-merror:0.46910	validation_1-mlogloss:2.93854
[98]	validation_0-merror:0.35862	validation_0-mlogloss:2.51743	validation_1-merror:0.46910	validation_1-mlogloss:2.93221
[99]	validation_0-merror:0.35692	validation_0-mlogloss:2.50776	validation_1-merror:0.46823	validation_1-mlogloss:2.92635
[100]	validation_0-merror:0.35537	validation_0-mlogloss:2.49823	validation_1-merror:0.46823	validation_1-mlogloss:2.92061
[101]	validation_0-merror:0.35466	validation_0-mlogloss:2.48873	validation_1-merror:0.46823	validation_1-mlogloss:2.91479
[102]	validation_0-merror:0.35254	validation_0-mlogloss:2.47940	validation_1-merror:0.46649	validation_1-mlogloss:2.90856
[103]	validation_0-merror:0.34972	validation_0-mlogloss:2.47009	validation_1-merror:0.46214	validation_1-mlogloss:2.90314
[104]	validation_0-merror:0.34859	validation_0-mlogloss:2.46074	validation_1-merror:0.46127	validation_1-mlogloss:2.89764
[105]	validation_0-merror:0.34746	validation_0-mlogloss:2.45175	validation_1-merror:0.46214	validation_1-mlogloss:2.89196
[106]	validation_0-merror:0.34661	validation_0-mlogloss:2.44296	validation_1-merror:0.46127	validation_1-mlogloss:2.88679
[107]	validation_0-merror:0.34633	validation_0-mlogloss:2.43420	validation_1-merror:0.46127	validation_1-mlogloss:2.88126
[108]	validation_0-merror:0.34562	validation_0-mlogloss:2.42522	validation_1-merror:0.46040	validation_1-mlogloss:2.87592
[109]	validation_0-merror:0.34379	validation_0-mlogloss:2.41660	validation_1-merror:0.45866	validation_1-mlogloss:2.87023
[110]	validation_0-merror:0.34251	validation_0-mlogloss:2.40806	validation_1-merror:0.45866	validation_1-mlogloss:2.86522
[111]	validation_0-merror:0.34153	validation_0-mlogloss:2.39962	validation_1-merror:0.45953	validation_1-mlogloss:2.86051
[112]	validation_0-merror:0.34025	validation_0-mlogloss:2.39150	validation_1-merror:0.45953	validation_1-mlogloss:2.85562
[113]	validation_0-merror:0.33898	validation_0-mlogloss:2.38317	validation_1-merror:0.45866	validation_1-mlogloss:2.85029
[114]	validation_0-merror:0.33771	validation_0-mlogloss:2.37506	validation_1-merror:0.45779	validation_1-mlogloss:2.84563
[115]	validation_0-merror:0.33630	validation_0-mlogloss:2.36693	validation_1-merror:0.45779	validation_1-mlogloss:2.84084
[116]	validation_0-merror:0.33602	validation_0-mlogloss:2.35898	validation_1-merror:0.45866	validation_1-mlogloss:2.83606
[117]	validation_0-merror:0.33489	validation_0-mlogloss:2.35116	validation_1-merror:0.45692	validation_1-mlogloss:2.83145
[118]	validation_0-merror:0.33390	validation_0-mlogloss:2.34332	validation_1-merror:0.45692	validation_1-mlogloss:2.82653
[119]	validation_0-merror:0.33319	validation_0-mlogloss:2.33558	validation_1-merror:0.45692	validation_1-mlogloss:2.82206
[120]	validation_0-merror:0.33234	validation_0-mlogloss:2.32786	validation_1-merror:0.45605	validation_1-mlogloss:2.81758
