[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bme001/20225898/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Some weights of the model checkpoint at bert-base-multilingual-uncased were not used when initializing BertModel: ['cls.predictions.transform.LayerNorm.weight', 'cls.predictions.decoder.weight', 'cls.predictions.transform.dense.bias', 'cls.predictions.bias', 'cls.predictions.transform.LayerNorm.bias', 'cls.seq_relationship.bias', 'cls.seq_relationship.weight', 'cls.predictions.transform.dense.weight']
- This IS expected if you are initializing BertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing BertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
[102]	validation_0-merror:0.18876	validation_0-mlogloss:1.16263	validation_1-merror:0.34772	validation_1-mlogloss:1.83919
[103]	validation_0-merror:0.18748	validation_0-mlogloss:1.15248	validation_1-merror:0.34742	validation_1-mlogloss:1.83274
[104]	validation_0-merror:0.18613	validation_0-mlogloss:1.14247	validation_1-merror:0.34720	validation_1-mlogloss:1.82642
[105]	validation_0-merror:0.18461	validation_0-mlogloss:1.13260	validation_1-merror:0.34672	validation_1-mlogloss:1.82026
[106]	validation_0-merror:0.18328	validation_0-mlogloss:1.12287	validation_1-merror:0.34619	validation_1-mlogloss:1.81408
[107]	validation_0-merror:0.18191	validation_0-mlogloss:1.11326	validation_1-merror:0.34582	validation_1-mlogloss:1.80807
[108]	validation_0-merror:0.18060	validation_0-mlogloss:1.10374	validation_1-merror:0.34578	validation_1-mlogloss:1.80209
[109]	validation_0-merror:0.17907	validation_0-mlogloss:1.09420	validation_1-merror:0.34523	validation_1-mlogloss:1.79617
[110]	validation_0-merror:0.17781	validation_0-mlogloss:1.08498	validation_1-merror:0.34501	validation_1-mlogloss:1.79050
[111]	validation_0-merror:0.17646	validation_0-mlogloss:1.07587	validation_1-merror:0.34470	validation_1-mlogloss:1.78476
[112]	validation_0-merror:0.17512	validation_0-mlogloss:1.06679	validation_1-merror:0.34431	validation_1-mlogloss:1.77917
[113]	validation_0-merror:0.17384	validation_0-mlogloss:1.05783	validation_1-merror:0.34378	validation_1-mlogloss:1.77362
[114]	validation_0-merror:0.17254	validation_0-mlogloss:1.04900	validation_1-merror:0.34368	validation_1-mlogloss:1.76825
[115]	validation_0-merror:0.17124	validation_0-mlogloss:1.04029	validation_1-merror:0.34315	validation_1-mlogloss:1.76290
[116]	validation_0-merror:0.16989	validation_0-mlogloss:1.03168	validation_1-merror:0.34273	validation_1-mlogloss:1.75769
[117]	validation_0-merror:0.16870	validation_0-mlogloss:1.02319	validation_1-merror:0.34225	validation_1-mlogloss:1.75251
[118]	validation_0-merror:0.16744	validation_0-mlogloss:1.01477	validation_1-merror:0.34208	validation_1-mlogloss:1.74741
[119]	validation_0-merror:0.16611	validation_0-mlogloss:1.00641	validation_1-merror:0.34180	validation_1-mlogloss:1.74234
[120]	validation_0-merror:0.16487	validation_0-mlogloss:0.99821	validation_1-merror:0.34127	validation_1-mlogloss:1.73740
[121]	validation_0-merror:0.16358	validation_0-mlogloss:0.99010	validation_1-merror:0.34090	validation_1-mlogloss:1.73251
[122]	validation_0-merror:0.16233	validation_0-mlogloss:0.98200	validation_1-merror:0.34057	validation_1-mlogloss:1.72772
